iter	Accuracy	MultiClass
0	0.6626635598	1.071603735
1	0.7156599152	1.044881385
2	0.7259365478	1.019944952
3	0.7304773854	0.9961667487
4	0.7273704965	0.9739165169
5	0.7273704965	0.9544059283
6	0.7281472187	0.9349227309
7	0.7281472187	0.9172426915
8	0.7281472187	0.9000510245
9	0.7281472187	0.8838969468
10	0.7277887316	0.8683271066
11	0.7256975563	0.853659219
12	0.7288641931	0.8391115131
13	0.7288641931	0.8261374767
14	0.7244428512	0.8132145111
15	0.7295811675	0.8011836929
16	0.7295811675	0.7896358899
17	0.7295811675	0.7784211348
18	0.7263547828	0.7675805276
19	0.7263547828	0.757399984
20	0.7319113342	0.7473799064
21	0.7268327657	0.737963175
22	0.7286849495	0.7283485637
23	0.7268327657	0.7195929328
24	0.7268327657	0.711163202
25	0.7268327657	0.7027455258
26	0.728923941	0.6950217344
27	0.7396188086	0.6872839878
28	0.7435621677	0.6802861204
29	0.7396188086	0.673433929
30	0.7435621677	0.6662496941
31	0.7396188086	0.6599962979
32	0.7417099839	0.653902517
33	0.742964689	0.6478859955
34	0.742964689	0.6420612639
35	0.742964689	0.6367156181
36	0.742964689	0.6311355946
37	0.742964689	0.6258241504
38	0.7355559539	0.620676019
39	0.7355559539	0.6158943471
40	0.7418294796	0.611107837
41	0.7355559539	0.6064547433
42	0.7355559539	0.6022507545
43	0.7418294796	0.5976172829
44	0.7457728386	0.5936932118
45	0.7457728386	0.5893742303
46	0.7457728386	0.5853245688
47	0.7457728386	0.5814205119
48	0.7457728386	0.5779070786
49	0.7439206548	0.5742506491
50	0.7457728386	0.5706048675
51	0.7457728386	0.5671287033
52	0.7457728386	0.5640758289
53	0.7457728386	0.5614097195
54	0.7438011591	0.558361879
55	0.7415307403	0.5554085043
56	0.7438011591	0.5525417007
57	0.7415307403	0.5497523643
58	0.7479237617	0.5469708009
59	0.7479237617	0.5444935553
60	0.7479237617	0.5418916443
61	0.7479237617	0.5395974564
62	0.7477445181	0.5373673016
63	0.7477445181	0.5352729592
64	0.7477445181	0.5329632246
65	0.7477445181	0.5309052316
66	0.7477445181	0.5288829738
67	0.7477445181	0.5269172003
68	0.7477445181	0.5250705703
69	0.7477445181	0.5231385244
70	0.7477445181	0.5212528903
71	0.7477445181	0.5196448517
72	0.7477445181	0.5180706474
73	0.7477445181	0.5163935419
74	0.7551532533	0.5147812077
75	0.7551532533	0.5128260763
76	0.7551532533	0.5112934653
77	0.7551532533	0.5098310585
78	0.7551532533	0.5083117253
79	0.7551532533	0.5068568322
80	0.7551532533	0.5054653905
81	0.7551532533	0.5040941911
82	0.7551532533	0.502644259
83	0.7551532533	0.5014530449
84	0.7551532533	0.4999990847
85	0.7551532533	0.4986628562
86	0.7551532533	0.4972578051
87	0.7551532533	0.4959373449
88	0.7551532533	0.4949339574
89	0.7551532533	0.493713153
90	0.7551532533	0.4925871235
91	0.7551532533	0.4915470858
92	0.7551532533	0.4905700709
93	0.7570054371	0.4895939167
94	0.7570054371	0.4887279699
95	0.7570054371	0.4874777409
96	0.7570054371	0.4865860744
97	0.7593953516	0.4856396126
98	0.7593953516	0.4845596801
99	0.7593953516	0.4836056914
100	0.7593953516	0.4828412317
101	0.7593953516	0.4819955964
102	0.7593953516	0.4812155892
103	0.7593953516	0.4804583702
104	0.7593953516	0.4797851568
105	0.7593953516	0.4789867395
106	0.7593953516	0.4781641128
107	0.7593953516	0.4775140249
108	0.7593953516	0.4769747048
109	0.7639361893	0.4761369419
110	0.7639361893	0.4754082149
111	0.7639361893	0.4746693926
112	0.7639361893	0.4740504026
113	0.7639361893	0.4735047915
114	0.7639361893	0.4729768866
115	0.7639361893	0.4723378943
116	0.7639361893	0.471696851
117	0.7639361893	0.4709129172
118	0.7639361893	0.4702076609
119	0.7593953516	0.4696430169
120	0.7593953516	0.4689670784
121	0.7593953516	0.4684842463
122	0.7593953516	0.4678581998
123	0.7593953516	0.467390998
124	0.7593953516	0.4667753565
125	0.7593953516	0.4662577383
126	0.7593953516	0.4654823362
127	0.7593953516	0.464897829
128	0.7593953516	0.4642648722
129	0.7593953516	0.4638280004
130	0.7621437534	0.4631858565
131	0.7621437534	0.4628012919
132	0.7621437534	0.4621734446
133	0.7621437534	0.4616392048
134	0.7621437534	0.4610797375
135	0.766684591	0.4605452882
136	0.766684591	0.4600444355
137	0.766684591	0.4595757956
138	0.766684591	0.4589870782
139	0.766684591	0.458525511
140	0.766684591	0.4578753101
141	0.7691342535	0.4573918254
142	0.7691342535	0.4570429967
143	0.768895262	0.4567246028
144	0.768895262	0.4562957338
145	0.7722411424	0.4558198115
146	0.7722411424	0.4552957791
147	0.7722411424	0.4549096838
148	0.768895262	0.4544807338
149	0.768895262	0.4541256244
150	0.768895262	0.4537690372
151	0.768895262	0.4531974523
152	0.768895262	0.4529206012
153	0.768895262	0.4525266282
154	0.768895262	0.4520864978
155	0.7733166039	0.4515790597
156	0.7766624843	0.4511772066
157	0.7766624843	0.4507540421
158	0.7766624843	0.4503554945
159	0.7766624843	0.4499305842
160	0.7722411424	0.449563473
161	0.7766624843	0.4492454529
162	0.7766624843	0.4489409991
163	0.7766624843	0.448535666
164	0.7766624843	0.4482070135
165	0.7766624843	0.4478067764
166	0.7766624843	0.4475328853
167	0.7766624843	0.4470874241
168	0.7733166039	0.4468695791
169	0.7733166039	0.4464655763
170	0.7733166039	0.4461083051
