iter	Passed	Remaining
0	14	21482
1	30	22538
2	44	22169
3	58	21825
4	72	21755
5	87	21775
6	101	21576
7	115	21581
8	130	21634
9	141	21100
10	155	21045
11	169	20960
12	183	21000
13	198	21097
14	213	21128
15	227	21124
16	241	21081
17	257	21179
18	271	21139
19	285	21136
20	301	21230
21	316	21288
22	331	21310
23	346	21305
24	362	21398
25	378	21461
26	393	21468
27	407	21433
28	423	21463
29	439	21522
30	455	21569
31	470	21587
32	484	21542
33	498	21500
34	513	21490
35	528	21503
36	543	21498
37	559	21523
38	575	21549
39	590	21543
40	604	21504
41	619	21504
42	634	21506
43	648	21470
44	664	21494
45	680	21515
46	695	21505
47	710	21479
48	725	21474
49	741	21512
50	757	21508
51	772	21512
52	787	21496
53	800	21426
54	814	21387
55	827	21341
56	843	21352
57	858	21348
58	873	21338
59	887	21310
60	903	21317
61	917	21287
62	933	21299
63	949	21304
64	966	21333
65	981	21321
66	995	21299
67	1011	21299
68	1026	21289
69	1041	21280
70	1056	21260
71	1070	21237
72	1086	21236
73	1103	21262
74	1116	21211
75	1131	21193
76	1146	21189
77	1161	21175
78	1175	21147
79	1190	21133
80	1206	21133
81	1220	21111
82	1232	21049
83	1248	21042
84	1264	21047
85	1279	21039
86	1294	21026
87	1308	20992
88	1324	20993
89	1339	20984
90	1355	20985
91	1371	20983
92	1386	20977
93	1401	20968
94	1417	20971
95	1433	20958
96	1449	20964
97	1466	20975
98	1481	20965
99	1496	20949
100	1510	20929
101	1526	20926
102	1541	20913
103	1557	20908
104	1573	20899
105	1588	20895
106	1604	20884
107	1619	20876
108	1634	20862
109	1649	20837
110	1664	20828
111	1678	20804
112	1693	20785
113	1709	20779
114	1723	20758
115	1737	20735
116	1753	20730
117	1768	20708
118	1783	20694
119	1798	20685
120	1812	20656
121	1826	20625
122	1841	20620
123	1856	20598
124	1872	20592
125	1887	20580
126	1902	20564
127	1916	20546
128	1931	20527
129	1946	20516
130	1961	20499
131	1976	20483
132	1991	20464
133	2007	20460
134	2021	20439
135	2036	20429
136	2051	20412
137	2067	20401
138	2083	20402
139	2099	20393
140	2113	20374
141	2129	20366
142	2144	20350
143	2159	20331
144	2173	20308
145	2188	20298
146	2203	20283
147	2218	20269
148	2233	20253
149	2249	20246
150	2265	20241
151	2279	20217
152	2295	20207
153	2312	20211
154	2327	20196
155	2343	20187
156	2357	20167
157	2372	20151
158	2386	20123
159	2401	20110
160	2416	20095
161	2431	20079
162	2446	20068
163	2461	20049
164	2476	20039
165	2492	20032
166	2508	20023
167	2523	20007
168	2539	19998
169	2555	19989
170	2571	19983
171	2586	19971
172	2602	19960
173	2617	19946
174	2631	19927
175	2647	19915
176	2661	19892
177	2677	19884
178	2693	19879
179	2709	19866
180	2723	19850
181	2738	19830
182	2752	19812
183	2767	19794
184	2782	19780
185	2797	19764
186	2812	19748
187	2826	19725
188	2842	19714
189	2856	19691
190	2870	19669
191	2886	19661
192	2901	19646
193	2916	19630
194	2931	19619
195	2948	19616
196	2962	19593
197	2975	19567
