iter	RMSE
0	0.7677590986
1	0.7676712281
2	0.7676039715
3	0.7675404915
4	0.7674451121
5	0.7674019
6	0.7672998442
7	0.7672275334
8	0.7671665133
9	0.7671075164
10	0.767015356
11	0.7669155485
12	0.7668887286
13	0.7667888266
14	0.7667162916
15	0.7666470587
16	0.7665773763
17	0.7665168345
18	0.7664456825
19	0.7663913425
20	0.7663043289
21	0.7662449277
22	0.7661671856
23	0.7660819874
24	0.7660600004
25	0.7660206789
26	0.7659543844
27	0.7658452518
28	0.7657780905
29	0.7657317787
30	0.7656311503
31	0.7655231537
32	0.7654759195
33	0.7654128538
34	0.765357543
35	0.7653300258
36	0.7652541731
37	0.765183406
38	0.7650739989
39	0.7650111947
40	0.7649686487
41	0.764881876
42	0.7648570448
43	0.7647825563
44	0.7646960634
45	0.7646581887
46	0.7646284948
47	0.7645979512
48	0.7644828785
49	0.7644128165
50	0.764376599
51	0.7643060329
52	0.7642709028
53	0.7642054886
54	0.764140437
55	0.7640804484
56	0.763984783
57	0.7639487565
58	0.7638361673
59	0.7637480008
60	0.7637270192
61	0.7636577532
62	0.7636242982
63	0.7635845871
64	0.7635267195
65	0.76347413
66	0.763421519
67	0.7633339477
68	0.7633146758
69	0.7632656408
70	0.7632526081
71	0.7631767768
72	0.7631207098
73	0.7630756607
74	0.7630384284
75	0.7630022645
76	0.7629498136
77	0.7628933345
78	0.762865035
79	0.7628165458
80	0.7627487457
81	0.7626797113
82	0.7626346913
83	0.7625818428
84	0.762498188
85	0.7624827666
86	0.7624204464
87	0.7623702522
88	0.7623299346
89	0.7622809255
90	0.7622133359
91	0.7621678748
92	0.7621093488
93	0.7620599674
94	0.762033737
95	0.7619673651
96	0.7619019104
97	0.7618166533
98	0.7618035305
99	0.7617706464
100	0.761728679
