iter	Passed	Remaining
0	3	5992
1	5	5804
2	8	5335
3	11	5375
4	14	5413
5	16	5283
6	18	5133
7	20	4983
8	22	4857
9	24	4802
10	27	4816
11	29	4767
12	31	4732
13	34	4694
14	36	4630
15	38	4608
16	40	4551
17	42	4500
18	44	4482
19	46	4435
20	48	4389
21	49	4348
22	51	4315
23	53	4278
24	55	4240
25	57	4210
26	59	4190
27	61	4172
28	63	4171
29	65	4154
30	67	4130
31	68	4107
32	70	4094
33	72	4082
34	75	4082
35	77	4071
36	79	4059
37	80	4048
38	82	4032
39	84	4015
40	86	4004
41	88	3990
42	90	3984
43	92	3985
44	94	3989
45	96	3980
46	98	3972
47	100	3968
48	102	3963
49	104	3959
50	107	3960
51	109	3958
52	111	3950
53	113	3942
54	115	3940
55	117	3936
56	119	3934
57	121	3930
58	123	3947
59	127	3981
60	129	3980
61	131	3983
62	133	3985
63	136	3982
64	138	3982
65	140	3982
66	142	3981
67	144	3972
68	146	3967
69	148	3958
70	150	3954
71	152	3956
72	154	3952
73	156	3949
74	158	3945
75	160	3943
76	163	3940
77	165	3936
78	167	3944
79	169	3943
80	171	3940
81	174	3938
82	176	3938
83	178	3944
84	180	3943
85	182	3939
86	184	3935
87	187	3937
88	189	3933
89	191	3933
90	193	3929
91	195	3928
92	197	3922
93	199	3920
94	201	3917
95	203	3913
96	206	3911
97	208	3908
98	210	3904
99	211	3896
100	214	3899
