date,hour,home_team,away_team,home_goals,away_goals,result
15-05-2025,17:20:00,Colombia,Italia,2,0,1
15-05-2025,17:15:00,Argentina,Olanda,0,2,2
15-05-2025,17:10:00,Brasile,Francia,1,0,1
15-05-2025,17:05:00,Italia,Uruguay,1,2,2
15-05-2025,17:00:00,Spagna,Turchia,0,0,X
15-05-2025,16:55:00,Francia,Spagna,1,2,2
15-05-2025,16:50:00,Danimarca,Olanda,0,1,2
15-05-2025,16:45:00,Italia,Portogallo,0,1,2
15-05-2025,16:40:00,Germania,Messico,0,0,X
15-05-2025,16:34:00,Croazia,Inghilterra,1,2,2
15-05-2025,16:28:00,Colombia,Spagna,1,2,2
15-05-2025,16:22:00,Cile,Olanda,3,1,1
15-05-2025,16:16:00,Brasile,Nigeria,0,1,2
15-05-2025,16:10:00,Belgio,Uruguay,0,1,2
15-05-2025,16:04:00,Argentina,Italia,1,0,1
15-05-2025,15:58:00,Portogallo,Svizzera,1,1,X
15-05-2025,15:52:00,Olanda,Portogallo,3,0,1
15-05-2025,15:46:00,Messico,Spagna,4,0,1
15-05-2025,15:40:00,Italia,Turchia,3,0,1
15-05-2025,15:34:00,Inghilterra,Messico,2,0,1
15-05-2025,15:28:00,Francia,Olanda,0,0,X
15-05-2025,15:22:00,Danimarca,Germania,1,2,2
15-05-2025,15:16:00,Croazia,Spagna,1,0,1
15-05-2025,15:10:00,Cile,Francia,2,1,1
15-05-2025,15:04:00,Belgio,Colombia,0,2,2
15-05-2025,14:58:00,Argentina,Brasile,1,3,2
15-05-2025,14:52:00,Olanda,Spagna,1,2,2
15-05-2025,14:46:00,Nigeria,Svizzera,0,0,X
15-05-2025,14:40:00,Croazia,Turchia,1,0,1
15-05-2025,14:34:00,Messico,Uruguay,0,1,2
15-05-2025,14:28:00,Portogallo,Spagna,0,2,2
15-05-2025,14:22:00,Svizzera,Uruguay,2,1,1
15-05-2025,14:16:00,Inghilterra,Italia,0,0,X
15-05-2025,14:10:00,Danimarca,Serbia,0,0,X
15-05-2025,14:04:00,Spagna,Uruguay,2,0,1
15-05-2025,13:58:00,Serbia,Svizzera,0,1,2
15-05-2025,13:52:00,Portogallo,Uruguay,2,0,1
15-05-2025,13:46:00,Olanda,Serbia,1,2,2
15-05-2025,13:40:00,Nigeria,Olanda,1,1,X
15-05-2025,13:34:00,Messico,Turchia,0,0,X
15-05-2025,13:28:00,Francia,Svizzera,0,0,X
15-05-2025,13:22:00,Colombia,Turchia,0,1,2
15-05-2025,13:16:00,Cile,Turchia,1,2,2
15-05-2025,13:10:00,Inghilterra,Portogallo,0,3,2
15-05-2025,13:04:00,Germania,Serbia,0,1,2
15-05-2025,12:58:00,Francia,Italia,2,2,X
15-05-2025,12:52:00,Danimarca,Francia,1,1,X
15-05-2025,12:46:00,Argentina,Germania,2,0,1
15-05-2025,12:40:00,Messico,Serbia,2,2,X
15-05-2025,12:34:00,Italia,Spagna,0,1,2
15-05-2025,12:28:00,Croazia,Olanda,3,1,1
15-05-2025,12:22:00,Colombia,Messico,1,2,2
15-05-2025,12:16:00,Cile,Inghilterra,0,2,2
15-05-2025,12:10:00,Germania,Nigeria,0,1,2
15-05-2025,12:04:00,Francia,Inghilterra,0,0,X
15-05-2025,11:58:00,Brasile,Spagna,2,0,1
15-05-2025,11:52:00,Belgio,Svizzera,1,0,1
15-05-2025,11:46:00,Argentina,Turchia,0,3,2
15-05-2025,11:40:00,Messico,Portogallo,2,2,X
15-05-2025,11:34:00,Italia,Olanda,1,3,2
15-05-2025,11:28:00,Inghilterra,Nigeria,0,0,X
15-05-2025,11:22:00,Germania,Italia,3,1,1
15-05-2025,11:16:00,Cile,Svizzera,1,2,2
15-05-2025,11:10:00,Brasile,Uruguay,1,2,2
15-05-2025,11:04:00,Colombia,Uruguay,1,0,1
15-05-2025,00:55:00,Danimarca,Nigeria,4,0,1
15-05-2025,00:50:00,Francia,Germania,1,0,1
15-05-2025,00:45:00,Svizzera,Turchia,1,1,X
15-05-2025,00:40:00,Messico,Nigeria,0,1,2
15-05-2025,00:35:00,Croazia,Danimarca,0,2,2
15-05-2025,00:30:00,Italia,Messico,1,2,2
15-05-2025,00:25:00,Colombia,Croazia,1,1,X
15-05-2025,00:20:00,Germania,Inghilterra,0,1,2
15-05-2025,00:15:00,Brasile,Cile,0,0,X
15-05-2025,00:10:00,Turchia,Uruguay,1,0,1
15-05-2025,00:05:00,Argentina,Belgio,0,2,2
14-05-2025,23:55:00,Croazia,Portogallo,1,0,1
14-05-2025,23:50:00,Colombia,Serbia,1,2,2
14-05-2025,23:45:00,Cile,Germania,2,2,X
14-05-2025,23:40:00,Cile,Nigeria,0,0,X
14-05-2025,23:35:00,Brasile,Serbia,0,0,X
14-05-2025,23:30:00,Argentina,Svizzera,2,2,X
14-05-2025,23:25:00,Belgio,Olanda,2,1,1
14-05-2025,23:20:00,Serbia,Uruguay,0,0,X
14-05-2025,23:15:00,Colombia,Svizzera,0,2,2
14-05-2025,23:10:00,Brasile,Messico,0,1,2
14-05-2025,23:05:00,Belgio,Croazia,0,1,2
14-05-2025,23:00:00,Francia,Nigeria,2,0,1
