iter	Passed	Remaining
0	12	18045
1	28	21281
2	44	22394
3	60	22794
4	77	23105
5	93	23265
6	110	23462
7	125	23466
8	139	23150
9	152	22738
10	165	22347
11	177	22016
12	187	21468
13	197	20912
14	204	20290
15	213	19778
16	221	19319
17	230	18979
18	238	18579
19	246	18235
20	253	17876
21	261	17571
22	269	17322
23	276	16996
24	284	16776
25	291	16547
26	299	16330
27	307	16141
28	314	15961
29	322	15807
30	329	15626
31	337	15477
32	343	15284
33	351	15163
34	359	15044
35	366	14913
36	373	14770
37	380	14650
38	387	14520
39	394	14408
40	402	14326
41	409	14227
42	416	14125
43	424	14054
44	432	13981
45	439	13902
46	447	13826
47	454	13759
48	462	13685
49	469	13626
50	477	13560
51	485	13507
52	492	13449
53	500	13391
54	507	13339
55	515	13289
56	523	13245
57	530	13189
58	538	13160
59	546	13118
60	554	13080
61	563	13062
62	570	13020
63	579	13000
64	586	12955
65	594	12919
66	602	12883
67	609	12843
68	617	12807
69	625	12771
70	632	12732
71	642	12750
72	650	12709
73	657	12678
74	665	12648
75	673	12616
76	681	12590
77	689	12562
78	696	12532
79	704	12505
80	712	12474
81	719	12447
82	727	12416
83	735	12395
84	743	12368
85	750	12347
86	758	12323
87	766	12302
88	774	12280
89	781	12251
90	789	12229
91	797	12209
92	805	12181
93	811	12145
94	819	12118
95	826	12080
96	832	12046
97	840	12020
98	847	11998
99	855	11978
100	863	11955
101	869	11918
102	876	11891
103	884	11876
104	892	11853
105	899	11831
106	906	11798
107	913	11776
108	921	11756
109	928	11728
110	935	11702
111	943	11691
112	951	11679
113	959	11661
114	967	11648
115	975	11634
116	981	11607
117	989	11594
118	997	11575
119	1005	11558
120	1012	11543
121	1020	11530
122	1028	11517
123	1036	11503
124	1044	11491
125	1050	11457
126	1058	11445
127	1066	11428
128	1074	11419
129	1082	11404
130	1089	11383
131	1094	11338
132	1101	11321
133	1109	11307
134	1116	11287
135	1121	11250
136	1129	11233
137	1136	11215
138	1143	11194
139	1150	11175
140	1158	11161
141	1165	11147
142	1172	11126
143	1179	11108
144	1187	11096
145	1195	11083
146	1202	11071
147	1210	11060
148	1216	11027
149	1223	11013
150	1231	10999
151	1237	10975
152	1245	10962
153	1252	10947
154	1260	10934
155	1267	10922
156	1275	10908
157	1282	10889
158	1286	10852
159	1294	10841
160	1302	10832
161	1310	10822
162	1317	10808
163	1325	10798
164	1333	10785
165	1339	10767
166	1346	10748
167	1353	10733
168	1361	10720
169	1368	10709
170	1376	10700
171	1384	10689
172	1392	10682
173	1400	10674
174	1408	10660
175	1415	10650
176	1421	10628
177	1428	10612
178	1436	10604
179	1444	10592
180	1452	10581
181	1459	10571
182	1465	10550
183	1473	10539
184	1480	10523
185	1487	10510
186	1495	10498
187	1502	10487
188	1508	10464
189	1516	10453
190	1523	10441
191	1529	10419
192	1536	10404
193	1543	10388
194	1550	10378
195	1558	10370
196	1564	10347
197	1573	10343
198	1580	10335
199	1586	10312
200	1594	10304
201	1600	10286
202	1606	10267
203	1613	10247
204	1620	10237
205	1628	10230
206	1637	10231
207	1645	10218
208	1653	10211
209	1661	10203
210	1669	10198
211	1677	10190
212	1684	10180
213	1691	10163
214	1699	10156
