date,hour,home_team,away_team,score,home_goals,away_goals,datetime,odds_1,result,over_under_25,odds_over_under_25,goal_no_goal,odds_goal_no_goal
14-05-2025,15:34:00,Inghilterra,Messico,0-1,0,1,2025-05-14 15:34:00,250,2,"Under 2,5 Goal",129,NG,137
14-05-2025,15:28:00,Francia,Olanda,1-1,1,1,2025-05-14 15:28:00,319,X,"Under 2,5 Goal",129,GG,225
14-05-2025,15:22:00,Danimarca,Germania,0-1,0,1,2025-05-14 15:22:00,223,2,"Under 2,5 Goal",130,NG,138
14-05-2025,15:16:00,Croazia,Spagna,2-2,2,2,2025-05-14 15:16:00,323,X,"Over 2,5 Goal",247,GG,221
14-05-2025,15:10:00,Cile,Francia,1-0,1,0,2025-05-14 15:10:00,228,1,"Under 2,5 Goal",130,NG,138
14-05-2025,15:04:00,Belgio,Colombia,0-2,0,2,2025-05-14 15:04:00,289,2,"Under 2,5 Goal",129,NG,139
14-05-2025,14:58:00,Argentina,Brasile,0-1,0,1,2025-05-14 14:58:00,226,2,"Under 2,5 Goal",130,NG,138
14-05-2025,14:52:00,Olanda,Spagna,1-0,1,0,2025-05-14 14:52:00,230,1,"Under 2,5 Goal",130,NG,138
14-05-2025,14:46:00,Nigeria,Svizzera,2-0,2,0,2025-05-14 14:46:00,268,1,"Under 2,5 Goal",130,NG,139
14-05-2025,14:40:00,Croazia,Turchia,0-2,0,2,2025-05-14 14:40:00,258,2,"Under 2,5 Goal",128,NG,137
14-05-2025,14:34:00,Messico,Uruguay,0-1,0,1,2025-05-14 14:34:00,216,2,"Under 2,5 Goal",128,NG,137
14-05-2025,14:28:00,Portogallo,Spagna,2-0,2,0,2025-05-14 14:28:00,237,1,"Under 2,5 Goal",130,NG,138
14-05-2025,14:22:00,Svizzera,Uruguay,0-1,0,1,2025-05-14 14:22:00,218,2,"Under 2,5 Goal",129,NG,137
14-05-2025,14:16:00,Inghilterra,Italia,1-0,1,0,2025-05-14 14:16:00,226,1,"Under 2,5 Goal",130,NG,138
14-05-2025,14:10:00,Danimarca,Serbia,1-0,1,0,2025-05-14 14:10:00,215,1,"Under 2,5 Goal",128,NG,137
14-05-2025,14:04:00,Spagna,Uruguay,0-0,0,0,2025-05-14 14:04:00,326,X,"Under 2,5 Goal",130,NG,138
14-05-2025,13:58:00,Serbia,Svizzera,1-0,1,0,2025-05-14 13:58:00,244,1,"Under 2,5 Goal",129,NG,136
14-05-2025,13:52:00,Portogallo,Uruguay,2-0,2,0,2025-05-14 13:52:00,233,1,"Under 2,5 Goal",130,NG,138
14-05-2025,13:46:00,Olanda,Serbia,2-2,2,2,2025-05-14 13:46:00,311,X,"Over 2,5 Goal",247,GG,220
14-05-2025,13:40:00,Nigeria,Olanda,1-2,1,2,2025-05-14 13:40:00,198,2,"Over 2,5 Goal",248,GG,219
14-05-2025,13:34:00,Messico,Turchia,2-2,2,2,2025-05-14 13:34:00,321,X,"Over 2,5 Goal",247,GG,221
14-05-2025,13:28:00,Francia,Svizzera,1-2,1,2,2025-05-14 13:28:00,232,2,"Over 2,5 Goal",247,GG,222
14-05-2025,13:22:00,Colombia,Turchia,2-2,2,2,2025-05-14 13:22:00,303,X,"Over 2,5 Goal",254,GG,221
14-05-2025,13:16:00,Cile,Turchia,0-1,0,1,2025-05-14 13:16:00,251,2,"Under 2,5 Goal",128,NG,137
14-05-2025,13:10:00,Inghilterra,Portogallo,1-1,1,1,2025-05-14 13:10:00,326,X,"Under 2,5 Goal",130,GG,222
14-05-2025,13:04:00,Germania,Serbia,2-0,2,0,2025-05-14 13:04:00,210,1,"Under 2,5 Goal",130,NG,139
14-05-2025,12:58:00,Francia,Italia,0-0,0,0,2025-05-14 12:58:00,324,X,"Under 2,5 Goal",130,NG,138
14-05-2025,12:52:00,Danimarca,Francia,2-0,2,0,2025-05-14 12:52:00,226,1,"Under 2,5 Goal",130,NG,138
14-05-2025,12:46:00,Argentina,Germania,0-1,0,1,2025-05-14 12:46:00,224,2,"Under 2,5 Goal",130,NG,138
14-05-2025,12:40:00,Messico,Serbia,0-1,0,1,2025-05-14 12:40:00,240,2,"Under 2,5 Goal",130,NG,138
