date,hour,home_team,away_team,score,home_goals,away_goals,datetime,odds_1,result,over_under_25,odds_over_under_25,goal_no_goal,odds_goal_no_goal
21-11-2024,22:05:00,JUV,FIO,4-2,4,2,2024-11-21 22:05:00,169,1,Over,180,Goal,208
21-11-2024,22:00:00,ROM,INT,1-0,1,0,2024-11-21 22:00:00,255,1,Under,166,No Goal,160
21-11-2024,21:55:00,LAZ,MIL,0-0,0,0,2024-11-21 21:55:00,358,X,Under,169,No Goal,155
21-11-2024,21:50:00,FIO,NAP,4-0,4,0,2024-11-21 21:50:00,256,1,Over,188,No Goal,160
21-11-2024,21:45:00,LAZ,ROM,0-1,0,1,2024-11-21 21:45:00,303,2,Under,167,No Goal,157
21-11-2024,21:40:00,INT,FIO,1-2,1,2,2024-11-21 21:40:00,325,2,Over,184,Goal,205
21-11-2024,21:35:00,MIL,JUV,3-3,3,3,2024-11-21 21:35:00,360,X,Over,180,Goal,201
21-11-2024,21:30:00,FIO,LAZ,1-0,1,0,2024-11-21 21:30:00,319,1,Under,175,No Goal,156
21-11-2024,21:25:00,JUV,ROM,1-0,1,0,2024-11-21 21:25:00,194,1,Under,167,No Goal,157
21-11-2024,21:20:00,NAP,INT,2-3,2,3,2024-11-21 21:20:00,216,2,Over,185,Goal,197
21-11-2024,21:15:00,ROM,MIL,0-1,0,1,2024-11-21 21:15:00,280,2,Under,165,No Goal,158
21-11-2024,21:10:00,JUV,NAP,1-0,1,0,2024-11-21 21:10:00,183,1,Under,169,No Goal,155
21-11-2024,21:05:00,INT,LAZ,2-4,2,4,2024-11-21 21:05:00,233,2,Over,188,Goal,196
21-11-2024,21:00:00,FIO,MIL,1-0,1,0,2024-11-21 21:00:00,249,1,Under,165,No Goal,159
21-11-2024,20:55:00,ROM,NAP,2-4,2,4,2024-11-21 20:55:00,273,2,Over,189,Goal,196
21-11-2024,20:50:00,JUV,LAZ,1-2,1,2,2024-11-21 20:50:00,261,2,Over,190,Goal,194
21-11-2024,20:45:00,MIL,INT,1-3,1,3,2024-11-21 20:45:00,208,2,Over,184,Goal,198
21-11-2024,20:40:00,ROM,FIO,2-0,2,0,2024-11-21 20:40:00,201,1,Under,166,No Goal,157
21-11-2024,20:35:00,LAZ,NAP,3-1,3,1,2024-11-21 20:35:00,185,1,Over,184,Goal,203
21-11-2024,20:30:00,INT,JUV,2-1,2,1,2024-11-21 20:30:00,256,1,Over,187,Goal,195
21-11-2024,20:25:00,MIL,JUV,1-4,1,4,2024-11-21 20:25:00,190,2,Over,180,Goal,200
21-11-2024,20:20:00,FIO,LAZ,0-3,0,3,2024-11-21 20:20:00,180,2,Over,178,No Goal,155
