date,hour,home_team,away_team,score,home_goals,away_goals,datetime,odds_1,result,over_under_25,odds_over_under_25,goal_no_goal,odds_goal_no_goal
14-05-2025,17:30:00,Portogallo,Serbia,1-2,1,2,2025-05-14 17:30:00,258,2,"Over 2,5 Goal",251,GG,224
14-05-2025,17:25:00,Olanda,Svizzera,0-1,0,1,2025-05-14 17:25:00,250,2,"Under 2,5 Goal",129,NG,137
14-05-2025,17:20:00,Colombia,Italia,1-1,1,1,2025-05-14 17:20:00,302,X,"Under 2,5 Goal",131,GG,217
14-05-2025,17:15:00,Argentina,Olanda,2-2,2,2,2025-05-14 17:15:00,322,X,"Over 2,5 Goal",247,GG,221
14-05-2025,17:10:00,Brasile,Francia,0-1,0,1,2025-05-14 17:10:00,241,2,"Under 2,5 Goal",130,NG,138
14-05-2025,17:05:00,Italia,Uruguay,2-0,2,0,2025-05-14 17:05:00,236,1,"Under 2,5 Goal",130,NG,138
14-05-2025,17:00:00,Spagna,Turchia,1-1,1,1,2025-05-14 17:00:00,311,X,"Under 2,5 Goal",130,GG,220
14-05-2025,16:55:00,Francia,Spagna,2-1,2,1,2025-05-14 16:55:00,247,1,"Over 2,5 Goal",251,GG,225
14-05-2025,16:50:00,Danimarca,Olanda,1-1,1,1,2025-05-14 16:50:00,322,X,"Under 2,5 Goal",130,GG,221
14-05-2025,16:45:00,Italia,Portogallo,2-2,2,2,2025-05-14 16:45:00,327,X,"Over 2,5 Goal",246,GG,222
14-05-2025,16:40:00,Germania,Messico,2-2,2,2,2025-05-14 16:40:00,316,X,"Over 2,5 Goal",251,GG,225
14-05-2025,16:34:00,Croazia,Inghilterra,1-1,1,1,2025-05-14 16:34:00,326,X,"Under 2,5 Goal",130,GG,222
14-05-2025,16:28:00,Colombia,Spagna,3-1,3,1,2025-05-14 16:28:00,361,1,"Over 2,5 Goal",241,GG,217
14-05-2025,16:22:00,Cile,Olanda,1-0,1,0,2025-05-14 16:22:00,243,1,"Under 2,5 Goal",129,NG,136
14-05-2025,16:16:00,Brasile,Nigeria,0-0,0,0,2025-05-14 16:16:00,306,X,"Under 2,5 Goal",129,NG,139
14-05-2025,16:10:00,Belgio,Uruguay,1-2,1,2,2025-05-14 16:10:00,201,2,"Over 2,5 Goal",248,GG,219
14-05-2025,16:04:00,Argentina,Italia,1-0,1,0,2025-05-14 16:04:00,230,1,"Under 2,5 Goal",130,NG,138
14-05-2025,15:58:00,Portogallo,Svizzera,1-1,1,1,2025-05-14 15:58:00,320,X,"Under 2,5 Goal",129,GG,221
14-05-2025,15:52:00,Olanda,Portogallo,3-0,3,0,2025-05-14 15:52:00,226,1,"Over 2,5 Goal",247,NG,138
14-05-2025,15:46:00,Messico,Spagna,1-2,1,2,2025-05-14 15:46:00,215,2,"Over 2,5 Goal",251,GG,225
14-05-2025,15:40:00,Italia,Turchia,3-1,3,1,2025-05-14 15:40:00,213,1,"Over 2,5 Goal",251,GG,225
14-05-2025,15:34:00,Inghilterra,Messico,0-1,0,1,2025-05-14 15:34:00,250,2,"Under 2,5 Goal",129,NG,137
14-05-2025,15:28:00,Francia,Olanda,1-1,1,1,2025-05-14 15:28:00,319,X,"Under 2,5 Goal",129,GG,225
14-05-2025,15:22:00,Danimarca,Germania,0-1,0,1,2025-05-14 15:22:00,223,2,"Under 2,5 Goal",130,NG,138
14-05-2025,15:16:00,Croazia,Spagna,2-2,2,2,2025-05-14 15:16:00,323,X,"Over 2,5 Goal",247,GG,221
14-05-2025,15:10:00,Cile,Francia,1-0,1,0,2025-05-14 15:10:00,228,1,"Under 2,5 Goal",130,NG,138
14-05-2025,15:04:00,Belgio,Colombia,0-2,0,2,2025-05-14 15:04:00,289,2,"Under 2,5 Goal",129,NG,139
14-05-2025,14:58:00,Argentina,Brasile,0-1,0,1,2025-05-14 14:58:00,226,2,"Under 2,5 Goal",130,NG,138
14-05-2025,14:52:00,Olanda,Spagna,1-0,1,0,2025-05-14 14:52:00,230,1,"Under 2,5 Goal",130,NG,138
14-05-2025,14:46:00,Nigeria,Svizzera,2-0,2,0,2025-05-14 14:46:00,268,1,"Under 2,5 Goal",130,NG,139
14-05-2025,14:40:00,Croazia,Turchia,0-2,0,2,2025-05-14 14:40:00,258,2,"Under 2,5 Goal",128,NG,137
14-05-2025,14:34:00,Messico,Uruguay,0-1,0,1,2025-05-14 14:34:00,216,2,"Under 2,5 Goal",128,NG,137
14-05-2025,14:28:00,Portogallo,Spagna,2-0,2,0,2025-05-14 14:28:00,237,1,"Under 2,5 Goal",130,NG,138
14-05-2025,14:22:00,Svizzera,Uruguay,0-1,0,1,2025-05-14 14:22:00,218,2,"Under 2,5 Goal",129,NG,137
14-05-2025,14:16:00,Inghilterra,Italia,1-0,1,0,2025-05-14 14:16:00,226,1,"Under 2,5 Goal",130,NG,138
14-05-2025,14:10:00,Danimarca,Serbia,1-0,1,0,2025-05-14 14:10:00,215,1,"Under 2,5 Goal",128,NG,137
14-05-2025,14:04:00,Spagna,Uruguay,0-0,0,0,2025-05-14 14:04:00,326,X,"Under 2,5 Goal",130,NG,138
14-05-2025,13:58:00,Serbia,Svizzera,1-0,1,0,2025-05-14 13:58:00,244,1,"Under 2,5 Goal",129,NG,136
14-05-2025,13:52:00,Portogallo,Uruguay,2-0,2,0,2025-05-14 13:52:00,233,1,"Under 2,5 Goal",130,NG,138
14-05-2025,13:46:00,Olanda,Serbia,2-2,2,2,2025-05-14 13:46:00,311,X,"Over 2,5 Goal",247,GG,220
14-05-2025,13:40:00,Nigeria,Olanda,1-2,1,2,2025-05-14 13:40:00,198,2,"Over 2,5 Goal",248,GG,219
14-05-2025,13:34:00,Messico,Turchia,2-2,2,2,2025-05-14 13:34:00,321,X,"Over 2,5 Goal",247,GG,221
